Назва товару,Теги (через кому),Короткий опис,Довгий опис,Вік,Інгредієнти,Тип шкіри,Серія,Класифікація
PDRN Pink Caffeine Night Wrapping Mask,"PDRN, кофеїн, нічна маска, дренаж, набряки, корейська косметика","Нічна маска з PDRN та кофеїном для зменшення набряків та дренажу.","PDRN Pink Caffeine Night Wrapping Mask — це нічна маска з PDRN та кофеїном для боротьби з набряками та втомленим виглядом шкіри. Кофеїн стимулює мікроциркуляцію та лімфодренаж.

Маска зменшує набряклість, особливо в зоні навколо очей та щік. PDRN відновлює шкіру, а гіалуронова кислота зволожує.

Наносити як останній етап вечірнього догляду. Особливу увагу приділити зоні під очима.",25+,"Рослинний PDRN, кофеїн, гіалуронова кислота, пантенол, алантоїн",Всі типи,PDRN Pink,Натуральна

Collagen Jelly Cream,"колаген, желе-крем, зволоження, легка текстура, пружність, корейська косметика","Легкий желе-крем з колагеном для зволоження та пружності без обтяження.","Collagen Jelly Cream — це легкий крем з желеподібною текстурою та колагеном для тих, хто хоче зволоження без важкості. Ідеальний для жирної та комбінованої шкіри, яка потребує колагену.

Желева текстура миттєво тане на шкірі, забезпечуючи глибоке зволоження без жирного блиску. Колаген підвищує пружність, гіалуронова кислота утримує вологу.

Підходить для ранкового та вечірнього догляду. Ідеальна база під макіяж.",18+,"Колаген, гіалуронова кислота, ніацинамід, пантенол, алантоїн",Всі типи,Collagen,Натуральна
Hyaluronic Ceramide Jelly Cream,"гіалуронова кислота, цераміди, желе-крем, зволоження, бар'єр шкіри, корейська косметика","Желе-крем з гіалуроновою кислотою та церамідами для зволоження та відновлення бар'єру.","Hyaluronic Ceramide Jelly Cream — це легкий желе-крем, який поєднує зволожуючу силу гіалуронової кислоти з відновлюючими властивостями церамідів. Ідеальний для зневодненої шкіри з пошкодженим бар'єром.

Гіалуронова кислота забезпечує багаторівневе зволоження, а церамідний комплекс відновлює захисний бар'єр шкіри. Легка текстура не обтяжує та не забиває пори.

Підходить для всіх типів шкіри, особливо для зневодненої.",16+,"Гіалуронова кислота (3 види), 5 видів церамідів, пантенол, сквалан",Всі типи,Hyaluronic,Натуральна
Hyaluronic Moisturising Capsule Cream,"гіалуронова кислота, капсульний крем, інтенсивне зволоження, суха шкіра, корейська косметика","Капсульний крем з гіалуроновою кислотою для інтенсивного зволоження сухої шкіри.","Hyaluronic Moisturising Capsule Cream — це насичений капсульний крем з гіалуроновою кислотою для інтенсивного зволоження сухої та дуже сухої шкіри. Капсули з активними компонентами розчиняються при нанесенні.

Три види гіалуронової кислоти забезпечують зволоження на різних рівнях шкіри. Сквалан та олія ші живлять та пом'якшують. Після нанесення шкіра напоєна, м'яка, без відчуття стягнутості.

Ідеальний для вечірнього догляду та холодного сезону.",18+,"Гіалуронова кислота (3 види), сквалан, масло ші, церамідний комплекс, пантенол",Суха,Hyaluronic,Натуральна
Deep Vita C Capsule Cream,"вітамін С, капсульний крем, освітлення, антиоксидант, сяйво, корейська косметика","Капсульний крем з вітаміном С для освітлення та антиоксидантного захисту.","Deep Vita C Capsule Cream — це крем з капсулами вітаміну С для тих, хто хоче освітлити шкіру та захистити її від вільних радикалів. Капсульна технологія зберігає вітамін С свіжим до моменту нанесення.

Вітамін С освітлює пігментні плями, вирівнює тон шкіри та стимулює вироблення колагену. Ніацинамід посилює освітлюючий ефект, а гіалуронова кислота зволожує.

Використовувати вранці з SPF-захистом для максимального ефекту.",18+,"Вітамін С, ніацинамід, гіалуронова кислота, токоферол, сквалан",Всі типи,Deep Vita C,Натуральна
TXA Niacinamide Capsule Cream,"транексамова кислота, ніацинамід, капсульний крем, пігментація, освітлення, корейська косметика","Капсульний крем з TXA та ніацинамідом для боротьби зі стійкою пігментацією.","TXA Niacinamide Capsule Cream — це потужний освітлюючий крем з транексамовою кислотою та ніацинамідом для боротьби зі стійкою пігментацією та мелазмою. Капсули забезпечують цілеспрямовану доставку активних компонентів.

Транексамова кислота — інгредієнт професійного рівня, який блокує вироблення меланіну. Ніацинамід вирівнює тон шкіри та зменшує розмір пор.

Використовувати вранці та ввечері. Обов'язково наносити SPF вдень.",18+,"Транексамова кислота, ніацинамід 10%, гіалуронова кислота, арбутин, пантенол",Всі типи,TXA,Лікувальна
Red Cream,"янтарна кислота, крем, акне, проблемна шкіра, протизапальний, корейська косметика","Крем з янтарною кислотою для проблемної шкіри з акне та запаленнями.","Red Cream — це спеціалізований крем для проблемної шкіри з акне. Формула з янтарною кислотою та центелою заспокоює запалення, регулює виділення себуму та прискорює загоєння.

Крем не пересушує шкіру, забезпечуючи необхідне зволоження. Ніацинамід зменшує почервоніння та вирівнює тон шкіри. Підходить для щоденного використання.

Наносити на все обличчя або точково на проблемні зони.",16+,"Янтарна кислота, екстракт центели, ніацинамід, цинк PCA, алантоїн",Проблемна,Red,Лікувальна
Zero Pore Blackhead Mud Mask,"глина, маска, чорні цятки, очищення пор, детокс, корейська косметика","Глиняна маска для глибокого очищення пор та видалення чорних цяток.","Zero Pore Blackhead Mud Mask — це глиняна маска для глибокого очищення пор та боротьби з чорними цятками. Каолін та бентоніт абсорбують надлишок себуму та витягують забруднення з пор.

Маска звужує пори, матує шкіру та запобігає появі нових чорних цяток. BHA розм'якшує вміст пор для легшого видалення.

Наносити на Т-зону на 10-15 хвилин 1-2 рази на тиждень.",16+,"Каолін, бентоніт, салицилова кислота (BHA), цинк PCA, алантоїн",Жирна/Комбінована,Zero Pore,Лікувальна
Deep Lifting Peptide Eye Cream,"пептиди, крем для очей, ліфтинг, зморшки, набряки, корейська косметика","Пептидний крем для зони навколо очей з ліфтинг-ефектом.","Deep Lifting Peptide Eye Cream — це концентрований крем для зони навколо очей з комплексом пептидів для боротьби зі зморшками, набряками та темними колами.

Пептиди стимулюють вироблення колагену, розгладжуючи «гусячі лапки». Кофеїн зменшує набряки та освітлює темні кола. Гіалуронова кислота зволожує ніжну шкіру навколо очей.

Наносити вранці та ввечері легкими вбиваючими рухами.",25+,"Пептидний комплекс, кофеїн, гіалуронова кислота, вітамін К, ніацинамід",Всі типи,Peptide,Натуральна
PDRN Pink Peptide Eye Cream,"PDRN, пептиди, крем для очей, регенерація, антивіковий, корейська косметика","Крем для зони навколо очей з PDRN та пептидами для регенерації та омолодження.","PDRN Pink Peptide Eye Cream — це антивіковий крем для зони навколо очей з рослинним PDRN та пептидами. Формула спеціально розроблена для ніжної шкіри навколо очей.

PDRN стимулює регенерацію клітин, пептиди підвищують пружність та розгладжують зморшки. Кофеїн зменшує набряки, а ніацинамід освітлює темні кола.

Наносити вранці та ввечері на зону навколо очей та брів.",25+,"Рослинний PDRN, пептидний комплекс, кофеїн, ніацинамід, гіалуронова кислота",Зріла,PDRN Pink,Натуральна
PDRN Pink Peptide Serum,"PDRN, пептиди, сироватка, антивіковий, пружність, корейська косметика","Антивікова сироватка з PDRN та пептидами для підвищення пружності та омолодження.","PDRN Pink Peptide Serum — це потужна антивікова сироватка, яка поєднує регенеруючу силу PDRN з омолоджуючими пептидами. Формула для тих, хто серйозно налаштований на боротьбу з ознаками старіння.

PDRN стимулює вироблення колагену та еластину, пептиди підтягують шкіру та розгладжують зморшки. Результат — пружна, молода шкіра з чітким контуром обличчя.

Наносити вранці та ввечері після тонера, перед кремом.",30+,"Рослинний PDRN, пептидний комплекс, аденозин, гіалуронова кислота, ніацинамід",Зріла,PDRN Pink,Натуральна

PDRN Pink Collagen Glow Jelly Serum,"PDRN, колаген, желе-сироватка, сяйво, зволоження, корейська косметика","Желе-сироватка з PDRN та колагеном для миттєвого сяйва та зволоження.","PDRN Pink Collagen Glow Jelly Serum — це інноваційна желе-сироватка з PDRN та колагеном для миттєвого ефекту сяйва та зволоження. Желеподібна текстура тане на шкірі, залишаючи відчуття свіжості.

Сироватка надає шкірі ефекту «glass skin» — сяючої, рівної, зволоженої шкіри. PDRN стимулює регенерацію, колаген підвищує пружність.

Наносити після тонера. Можна використовувати самостійно або під крем.",18+,"Рослинний PDRN, колаген, гіалуронова кислота, ніацинамід, пантенол",Всі типи,PDRN Pink,Натуральна
PDRN Pink Collagen Glow Jelly Mist Serum,"PDRN, колаген, міст-сироватка, сяйво, освіження, корейська косметика","Міст-сироватка з PDRN та колагеном для миттєвого сяйва та освіження протягом дня.","PDRN Pink Collagen Glow Jelly Mist Serum — це міст-сироватка для миттєвого освіження та сяйва шкіри в будь-який час дня. Можна наносити на макіяж для ефекту «dewy skin».

Дрібнодисперсний спрей рівномірно розподіляє есенцію з PDRN та колагеном. Шкіра миттєво виглядає свіжою, сяючою, зволоженою.

Використовувати протягом дня для освіження. Тримати на відстані 20-30 см від обличчя.",16+,"Рослинний PDRN, колаген, гіалуронова кислота, ніацинамід, алантоїн",Всі типи,PDRN Pink,Натуральна
PDRN Pink Collagen Toning Gel Toner Pad,"PDRN, колаген, тонуючі педи, тонізування, зволоження, корейська косметика","Тонуючі педи з PDRN та колагеном для тонізування та зволоження шкіри.","PDRN Pink Collagen Toning Gel Toner Pad — це педи, просочені гелевим тонером з PDRN та колагеном. Зручний формат для швидкого тонізування та зволоження.

Педи видаляють залишки забруднень після вмивання, тонізують та зволожують шкіру. PDRN стимулює регенерацію, колаген підвищує пружність.

Використовувати після очищення вранці та ввечері. 70 педів у банці.",18+,"Рослинний PDRN, колаген, гіалуронова кислота, ніацинамід, пантенол",Всі типи,PDRN Pink,Натуральна
One Day Exosome Shot 2000,"екзосоми, ампула, регенерація, антивіковий, інтенсивний догляд, корейська косметика","Інтенсивна ампула з 2000 екзосомами для швидкої регенерації шкіри.","One Day Exosome Shot 2000 — це концентрована ампула з 2000 екзосомами для інтенсивної регенерації шкіри. Екзосоми — це мікроскопічні везикули, які доставляють активні компоненти безпосередньо в клітини.

Ампула призначена для курсового застосування при вираженій втомленості шкіри, після стресу або косметологічних процедур. Результат — відновлена, сяюча шкіра.

Використовувати 1 ампулу за раз. Курс — 7-14 днів.",25+,"Екзосоми 2000 ppm, гіалуронова кислота, пептиди, ніацинамід, пантенол",Всі типи,Exosome,Натуральна
One Day Exosome Shot 7500,"екзосоми, ампула, інтенсивна регенерація, антивіковий, професійний догляд, корейська косметика","Потужна ампула з 7500 екзосомами для максимальної регенерації шкіри.","One Day Exosome Shot 7500 — це найпотужніша ампула лінійки з концентрацією 7500 екзосом для максимальної регенерації та омолодження шкіри. Професійний рівень догляду вдома.

Ампула призначена для зрілої шкіри з вираженими ознаками старіння, а також для інтенсивного відновлення після агресивних процедур.

Використовувати 1 ампулу за раз. Курс — 7-14 днів для максимального ефекту.",30+,"Екзосоми 7500 ppm, гіалуронова кислота, пептиди, колаген, аденозин",Зріла,Exosome,Натуральна
PDRN Pink Collagen EXOSOME SHOT 2000,"PDRN, екзосоми, колаген, ампула, регенерація, корейська косметика","Ампула з PDRN, екзосомами та колагеном для комплексної регенерації.","PDRN Pink Collagen EXOSOME SHOT 2000 — це потрійна формула для максимальної регенерації: PDRN + екзосоми + колаген в одній ампулі. Комплексний підхід до омолодження шкіри.

Кожен компонент працює на своєму рівні: PDRN стимулює регенерацію клітин, екзосоми доставляють активні компоненти, колаген підвищує пружність.

Використовувати 1 ампулу за раз. Курс — 7-14 днів.",25+,"Рослинний PDRN, екзосоми 2000 ppm, колаген, гіалуронова кислота, пептиди",Зріла,PDRN Pink,Натуральна
PDRN Pink Collagen EXOSOME SHOT 7500,"PDRN, екзосоми, колаген, ампула, максимальна регенерація, корейська косметика","Найпотужніша ампула з PDRN, екзосомами та колагеном для максимального омолодження.","PDRN Pink Collagen EXOSOME SHOT 7500 — це найпотужніша формула лінійки з максимальною концентрацією екзосом (7500 ppm), PDRN та колагеном. Професійний рівень антивікового догляду.

Ампула призначена для зрілої шкіри з вираженими ознаками старіння. Потрійна формула забезпечує комплексне омолодження: регенерацію, підтягування, зволоження.

Використовувати 1 ампулу за раз. Курс — 7-14 днів для максимального ефекту.",30+,"Рослинний PDRN, екзосоми 7500 ppm, колаген, гіалуронова кислота, пептиди",Зріла,PDRN Pink,Натуральна
Red Acne Succinic Acid Peel,"янтарна кислота, пілінг, акне, ексфоліація, проблемна шкіра, корейська косметика","Пілінг з янтарною кислотою для проблемної шкіри з акне.","Red Acne Succinic Acid Peel — це м'який хімічний пілінг з янтарною кислотою для проблемної шкіри. Янтарна кислота — ніжний ексфоліант, який підходить навіть для запаленої шкіри з акне.

Пілінг видаляє омертвілі клітини, очищує пори, зменшує запалення та прискорює загоєння акне. Регулярне використання запобігає появі нових висипань.

Наносити на чисту шкіру на 5-10 хвилин 1-2 рази на тиждень.",16+,"Янтарна кислота, екстракт центели, ніацинамід, алантоїн, бетаїн",Проблемна,Red,Лікувальна
Red Acne Body Peeling Shot,"янтарна кислота, пілінг для тіла, акне на тілі, спина, корейська косметика","Пілінг для тіла з янтарною кислотою для боротьби з акне на спині та тілі.","Red Acne Body Peeling Shot — це спеціалізований пілінг для боротьби з акне на тілі: спині, плечах, грудях. Янтарна кислота м'яко ексфолює та зменшує запалення.

Формула регулює виділення себуму, очищує пори та запобігає появі нових висипань. Екстракт центели заспокоює подразнення.

Наносити на проблемні зони тіла 2-3 рази на тиждень після душу.",16+,"Янтарна кислота, екстракт центели, ніацинамід, чайне дерево, алантоїн",Проблемна,Red,Лікувальна
Red Clear Capsule Body Lotion,"лосьйон для тіла, акне на тілі, зволоження, проблемна шкіра, корейська косметика","Лосьйон для тіла з капсулами для зволоження та боротьби з акне.","Red Clear Capsule Body Lotion — це лосьйон для тіла з капсулами активних компонентів для тих, хто бореться з акне на тілі. Капсули розчиняються при нанесенні, доставляючи активні компоненти в шкіру.

Лосьйон зволожує шкіру тіла, регулює виділення себуму та запобігає появі висипань. Легка текстура швидко вбирається, не залишаючи липкості.

Наносити на тіло після душу, особливу увагу приділити проблемним зонам.",16+,"Янтарна кислота, ніацинамід, гіалуронова кислота, екстракт центели, алантоїн",Проблемна,Red,Лікувальна
EXosome Cica Calming Pad,"екзосоми, центела, заспокійливі педи, чутлива шкіра, корейська косметика","Заспокійливі педи з екзосомами та центелою для чутливої шкіри.","EXosome Cica Calming Pad — це педи з екзосомами та екстрактом центели для заспокоєння та відновлення чутливої шкіри. Екзосоми доставляють заспокійливі компоненти безпосередньо в клітини.

Педи миттєво зменшують почервоніння та дискомфорт, відновлюють комфорт шкіри. Ідеальні після косметологічних процедур або при реактивній шкірі.

Використовувати вранці та ввечері або як SOS-засіб при подразненні.",16+,"Екзосоми, мадекасосид, азіатикозид, пантенол, алантоїн, бетаїн",Чутлива,Exosome Cica,Натуральна
Collagen Capsule Patch Vitamin C,"колаген, вітамін С, патчі, освітлення, пружність, корейська косметика","Патчі з колагеном та вітаміном С для освітлення та підвищення пружності.","Collagen Capsule Patch Vitamin C — це патчі з капсулами колагену та вітаміну С для точкового догляду. Ідеальні для зон з пігментацією та втратою пружності.

Патчі забезпечують тривалий контакт активних компонентів зі шкірою. Вітамін С освітлює, колаген підвищує пружність.

Наносити на чисту суху шкіру на 4-6 годин або на ніч.",18+,"Колаген, вітамін С, гіалуронова кислота, ніацинамід, пантенол",Всі типи,Collagen,Натуральна
Collagen Capsule Patch RETINOL,"колаген, ретинол, патчі, антивіковий, зморшки, корейська косметика","Патчі з колагеном та ретинолом для боротьби зі зморшками.","Collagen Capsule Patch RETINOL — це патчі з капсулами колагену та ретинолу для точкового антивікового догляду. Ідеальні для зон з вираженими зморшками: лоб, носогубні складки, міжбрів'я.

Ретинол прискорює оновлення клітин та розгладжує зморшки. Колаген підвищує пружність. Патчі забезпечують тривалу дію без подразнення.

Наносити на чисту суху шкіру на ніч. Починати з 2-3 разів на тиждень.",25+,"Колаген, інкапсульований ретинол, гіалуронова кислота, пантенол, алантоїн",Зріла,Collagen,Лікувальна
AGE-R Glutatione Glow Serum,"глутатіон, освітлення, антиоксидант, сяйво, антивіковий, корейська косметика","Сироватка з глутатіоном для освітлення та антиоксидантного захисту.","AGE-R Glutatione Glow Serum — це потужна освітлююча сироватка з глутатіоном — «майстер-антиоксидантом». Глутатіон нейтралізує вільні радикали та пригнічує вироблення меланіну.

Сироватка освітлює шкіру, зменшує пігментні плями та надає здорового сяйва. Ніацинамід посилює освітлюючий ефект, а гіалуронова кислота зволожує.

Наносити вранці та ввечері. Обов'язково використовувати SPF вдень.",18+,"Глутатіон, ніацинамід, гіалуронова кислота, вітамін С, арбутин",Всі типи,AGE-R,Лікувальна

